Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Oman,52,0.79,3.9,4.9,76.8,13.6,8,34857.71,98.6,2,59.2,1551,70.2,157.8,52,7.9,74.2,0.4,27.1,29.2,4,2.9,1.05
Pakistan,147,0.54,185.1,231.7,66.2,7.8,4.7,4866.18,33.1,0.6,-1.8,966,13.8,73.3,147,1.7,37.2,21.5,23.2,52.3,7,3.2,1.09
Palau,60,0.78,0,0,72.7,13.7,12.3,13495.87,137.2,2.3,,105,,90.6,60,0.8,,,,,,,
"Palestine, State of",113,0.68,4.4,6.4,72.9,13,8.9,4699.15,72.4,1.6,-2,545,53.7,72.1,113,2.5,75,0.6,19.7,67.3,5.3,4.1,1.05
Panama,60,0.78,3.9,4.9,77.6,13.3,9.3,18191.99,154.8,11.8,1.5,1658,44.9,158.1,60,1.6,77,0.4,28.5,42.5,11.7,2.5,1.05
Papua New Guinea,158,0.51,7.5,10,62.6,9.9,4,2462.84,,0.1,0,174,9.4,44.9,158,2.1,12.7,1,21.2,62.2,5,3.8,1.08
Paraguay,112,0.68,6.9,8.7,72.9,11.9,7.7,7643.37,94.1,1.2,-1.2,610,43,105.6,112,1.7,63.5,0.8,24.4,50.8,9.1,2.9,1.05
Peru,84,0.73,30.8,36.5,74.6,13.1,9,11015.24,48.4,4.6,-2,3164,40.2,102.9,84,1.3,78.3,2.9,27.1,42.9,10.3,2.4,1.05
Philippines,115,0.67,100.1,127.8,68.2,11.3,8.9,7915.2,59.9,1.3,-1.4,4681,39.7,111.2,115,1.7,49.6,11.5,23.4,53.4,6.5,3.1,1.06
Poland,36,0.84,38.2,37.4,77.4,15.5,11.8,23176.8,90.3,-0.9,-0.2,15800,66.6,156.5,36,0,60.7,2,39.4,21.7,22,1.4,1.06
Portugal,43,0.83,10.6,10.4,80.9,16.3,8.2,25756.82,77.5,3.5,1.9,8097,64.6,111.8,43,0,62.7,0.5,43,21.8,29.3,1.3,1.06
Qatar,32,0.85,2.3,2.8,78.2,13.8,9.1,123124.36,97.5,-0.4,48.8,2611,91.5,145.8,32,5.9,99.2,0.1,31.7,15.9,1.1,2.1,1.05
Romania,52,0.79,21.6,20.2,74.7,14.2,10.8,18107.96,84.5,2.2,-0.4,8019,54.1,105.9,52,-0.3,52.9,1.1,40,21.8,22.3,1.4,1.06
Russian Federation,50,0.8,142.5,133.6,70.1,14.7,12,22352.05,50.9,3.4,1.5,30800,70.5,155.1,50,-0.2,74.3,8.4,38.5,23.4,18.8,1.5,1.06
Rwanda,163,0.48,12.1,17.8,64.2,10.3,3.7,1458.04,45.4,1.5,-0.8,864,10.6,64,163,2.7,20,1.9,18.4,74.1,4.5,4.6,1.02
Saint Kitts and Nevis,77,0.75,0.1,0.1,73.8,12.9,8.4,20804.81,87.7,14.5,,107,65.4,139.8,77,1.1,,,,,,,
Saint Lucia,89,0.73,0.2,0.2,75.1,12.6,9.3,9764.84,97.2,6.3,0,319,51,102.6,89,0.8,15.5,0,31.2,34.1,13.2,1.9,1.03
Saint Vincent and the Grenadines,97,0.72,0.1,0.1,72.9,13.4,8.6,9937.27,87.2,17.9,-9.1,72,56.5,105.2,97,0,50.5,0,29.8,36,10.7,2,1.03
Samoa,105,0.7,0.2,0.2,73.4,12.9,10.3,5327.48,80.9,3,-13.4,116,21.2,55.5,105,0.8,19.3,0,21.2,64.9,9.1,4.2,1.08
Sao Tome and Principe,143,0.56,0.2,0.3,66.5,11.3,4.7,2918.23,58.3,3.4,-1.6,12,24.4,64.9,143,2.6,64.7,0,19.4,74.8,5.8,4.1,1.03
Saudi Arabia,39,0.84,29.4,35.6,74.3,16.3,8.7,52821.36,82.4,1.2,2.1,13400,63.7,179.6,39,1.8,82.9,2.9,28.4,41.2,4.4,2.7,1.03
Senegal,170,0.47,14.5,21.9,66.5,7.9,2.5,2188.11,73.6,2,-1.4,1063,17.7,98.8,170,2.9,43.5,2.4,18.2,80.5,5.4,5,1.04
Serbia,66,0.77,9.5,8.6,74.9,14.4,10.5,12190.43,92.7,4.3,-2.1,922,53.5,122.1,66,-0.5,57.4,0.5,39.3,22.9,21.7,1.4,1.05
Seychelles,64,0.77,0.1,0.1,73.1,13.4,9.4,23300.31,164,12.3,-3.4,230,54.3,162.2,64,0.6,54.8,0,33.2,31.7,11.2,2.2,1.06
Sierra Leone,181,0.41,6.2,8.1,50.9,8.6,3.1,1780.36,107.5,3.5,-0.7,81,2.1,76.7,181,1.9,40.4,0.9,19.3,72.4,4.7,4.8,1.02
Singapore,11,0.91,5.5,6.6,83,15.4,10.6,76628.2,358,21.4,15,11900,82,158.1,11,2,100,0.3,38.7,20.8,15.2,1.3,1.07
Slovakia,35,0.84,5.5,5.4,76.3,15.1,12.2,25845.28,181.4,2.2,0.6,6235,80,116.9,35,0.1,54.6,0.3,38.9,21.4,19.1,1.4,1.05
Slovenia,25,0.88,2.1,2.1,80.4,16.8,11.9,27852.15,143.4,-0.9,2.1,2259,71.6,112.1,25,0.2,49.8,0.1,43,21.4,26.4,1.5,1.05
Solomon Islands,156,0.51,0.6,0.8,67.9,9.2,5,1539.97,119.1,4.1,-4.3,24.4,9,65.8,156,2.1,21.8,0.1,19.9,69.4,5.9,4.1,1.07
South Africa,116,0.67,53.1,58.1,57.4,13.6,9.9,12122.32,64.2,2.2,-0.4,9537,49,149.7,116,0.8,63.3,5.3,26.5,45.1,8.8,2.4,1.03
South Sudan,169,0.47,11.7,17.3,55.7,7.6,5.4,2332.12,61,,15.7,0,15.9,24.5,169,4,18.6,1.8,18.9,75.3,6.4,5,1.04
Spain,26,0.88,47.1,48.2,82.6,17.3,9.6,32044.86,59.7,3.2,2.6,60700,76.2,107.9,26,0.4,77.9,2.5,42.2,23.4,27.6,1.5,1.06
Sri Lanka,73,0.76,21.4,23.3,74.9,13.7,10.8,9778.61,54.5,1.4,-3,1275,25.8,103.2,73,0.8,15.3,1.9,32,38.1,13.7,2.4,1.04
Sudan,167,0.48,38.8,55.1,63.5,7,3.1,3808.89,25.7,3.3,-4.3,591,24.6,72.2,167,2.1,33.7,5.8,19.4,72.1,5.9,4.5,1.04
Suriname,103,0.71,0.5,0.6,71.1,12.7,7.7,15617.28,75.6,2.6,-1.9,249,40.1,170.6,103,0.9,70.9,0,29.1,39.6,10.2,2.3,1.08
Swaziland,150,0.53,1.3,1.5,49,11.3,7.1,5542.27,114.6,0.6,-1,968,27.1,72.3,150,1.5,21.1,0.2,20.5,63.1,6.1,3.4,1.03
Sweden,14,0.91,9.6,10.7,82.2,15.8,12.1,45635.5,82.7,-0.9,4.2,5229,92.5,127.8,14,0.7,85.7,0.6,41.2,27.6,31.8,1.9,1.06
